purchase_date,time_to_go,takeoff_date,price,day_of_week,month,unsold_tickets,number_of_quotes
2015/4/16,118,2015/5/1,1481,5,5,1137,227
2015/4/16,117,2015/5/1,1379,5,5,1131,226
2015/4/17,116,2015/5/1,1342,5,5,1123,224
2015/4/17,115,2015/5/1,1372,5,5,1118,223
2015/4/17,114,2015/5/1,1074,5,5,1104,220
2015/4/17,113,2015/5/1,1317,5,5,1103,220
2015/4/17,112,2015/5/1,1435,5,5,1091,218
2015/4/17,111,2015/5/1,1284,5,5,1077,215
2015/4/17,110,2015/5/1,1472,5,5,1066,213
2015/4/17,109,2015/5/1,1409,5,5,1052,210
2015/4/18,108,2015/5/1,1343,5,5,1038,207
2015/4/18,107,2015/5/1,1163,5,5,1036,207
2015/4/18,106,2015/5/1,1255,5,5,1033,206
2015/4/18,105,2015/5/1,1269,5,5,1022,204
2015/4/18,104,2015/5/1,1242,5,5,1014,202
2015/4/18,103,2015/5/1,1158,5,5,1008,201
2015/4/18,102,2015/5/1,1007,5,5,994,198
2015/4/18,101,2015/5/1,1157,5,5,987,197
2015/4/19,100,2015/5/1,1222,5,5,975,195
2015/4/19,99,2015/5/1,1361,5,5,973,194
2015/4/19,98,2015/5/1,1373,5,5,970,194
2015/4/19,97,2015/5/1,1228,5,5,967,193
2015/4/19,96,2015/5/1,1316,5,5,966,193
2015/4/19,95,2015/5/1,1252,5,5,956,191
2015/4/19,94,2015/5/1,1092,5,5,945,189
2015/4/19,93,2015/5/1,1367,5,5,940,188
2015/4/20,92,2015/5/1,1119,5,5,932,186
2015/4/20,91,2015/5/1,1473,5,5,927,185
2015/4/20,90,2015/5/1,1463,5,5,913,182
2015/4/20,89,2015/5/1,1125,5,5,912,182
2015/4/20,88,2015/5/1,1129,5,5,911,182
2015/4/20,87,2015/5/1,1026,5,5,907,181
2015/4/20,86,2015/5/1,1404,5,5,896,179
2015/4/21,85,2015/5/1,1350,5,5,895,179
2015/4/21,84,2015/5/1,1459,5,5,891,178
2015/4/21,83,2015/5/1,1064,5,5,886,177
2015/4/21,82,2015/5/1,1408,5,5,880,176
2015/4/21,81,2015/5/1,1141,5,5,877,175
2015/4/21,80,2015/5/1,1388,5,5,876,175
2015/4/21,79,2015/5/1,1331,5,5,874,174
2015/4/21,78,2015/5/1,1455,5,5,864,172
2015/4/22,77,2015/5/1,1121,5,5,858,171
2015/4/22,76,2015/5/1,1147,5,5,856,171
2015/4/22,75,2015/5/1,1028,5,5,854,170
2015/4/22,74,2015/5/1,1176,5,5,841,168
2015/4/22,73,2015/5/1,1470,5,5,834,166
2015/4/22,72,2015/5/1,1299,5,5,820,164
2015/4/22,71,2015/5/1,1385,5,5,819,163
2015/4/22,70,2015/5/1,1195,5,5,813,162
2015/4/23,69,2015/5/1,1245,5,5,808,161
2015/4/23,68,2015/5/1,1144,5,5,795,159
2015/4/23,67,2015/5/1,1464,5,5,784,156
2015/4/23,66,2015/5/1,1025,5,5,771,154
2015/4/23,65,2015/5/1,1025,5,5,769,153
2015/4/23,64,2015/5/1,1011,5,5,762,152
2015/4/23,63,2015/5/1,1025,5,5,761,152
2015/4/23,62,2015/5/1,1057,5,5,748,149
2015/4/24,61,2015/5/1,1161,5,5,738,147
2015/4/24,60,2015/5/1,1118,5,5,737,147
2015/4/24,59,2015/5/1,1072,5,5,726,145
2015/4/24,58,2015/5/1,1245,5,5,721,144
2015/4/24,57,2015/5/1,1202,5,5,710,142
2015/4/24,56,2015/5/1,1142,5,5,702,140
2015/4/24,55,2015/5/1,1381,5,5,689,137
2015/4/25,54,2015/5/1,1155,5,5,685,137
2015/4/25,53,2015/5/1,1477,5,5,682,136
2015/4/25,52,2015/5/1,1433,5,5,676,135
2015/4/25,51,2015/5/1,1474,5,5,675,135
2015/4/25,50,2015/5/1,1195,5,5,670,134
2015/4/25,49,2015/5/1,1380,5,5,661,132
2015/4/25,48,2015/5/1,1340,5,5,658,131
2015/4/25,47,2015/5/1,1388,5,5,654,130
2015/4/26,46,2015/5/1,1444,5,5,643,128
2015/4/26,45,2015/5/1,1377,5,5,637,127
2015/4/26,44,2015/5/1,1231,5,5,627,125
2015/4/26,43,2015/5/1,1057,5,5,619,123
2015/4/26,42,2015/5/1,1205,5,5,611,122
2015/4/26,41,2015/5/1,1316,5,5,603,120
2015/4/26,40,2015/5/1,1384,5,5,590,118
2015/4/26,39,2015/5/1,1399,5,5,577,115
2015/4/27,38,2015/5/1,1237,5,5,569,113
2015/4/27,37,2015/5/1,1007,5,5,567,113
2015/4/27,36,2015/5/1,1235,5,5,564,112
2015/4/27,35,2015/5/1,1095,5,5,556,111
2015/4/27,34,2015/5/1,1454,5,5,550,110
2015/4/27,33,2015/5/1,1200,5,5,538,107
2015/4/27,32,2015/5/1,1205,5,5,533,106
2015/4/27,31,2015/5/1,1314,5,5,531,106
2015/4/28,30,2015/5/1,1084,5,5,519,103
2015/4/28,29,2015/5/1,1500,5,5,512,102
2015/4/28,28,2015/5/1,1156,5,5,509,101
2015/4/28,27,2015/5/1,1341,5,5,497,99
2015/4/28,26,2015/5/1,1300,5,5,484,96
2015/4/28,25,2015/5/1,1206,5,5,480,96
2015/4/28,24,2015/5/1,1067,5,5,468,93
2015/4/29,23,2015/5/1,1383,5,5,458,91
2015/4/29,22,2015/5/1,1382,5,5,451,90
2015/4/29,21,2015/5/1,1184,5,5,438,87
2015/4/29,20,2015/5/1,1263,5,5,436,87
2015/4/29,19,2015/5/1,1450,5,5,426,85
2015/4/29,18,2015/5/1,1112,5,5,418,83
2015/4/29,17,2015/5/1,1487,5,5,416,83
2015/4/29,16,2015/5/1,1460,5,5,408,81
2015/4/30,15,2015/5/1,1081,5,5,401,80
2015/4/30,14,2015/5/1,1047,5,5,390,78
2015/4/30,13,2015/5/1,1054,5,5,379,75
2015/4/30,12,2015/5/1,1154,5,5,368,73
2015/4/30,11,2015/5/1,1460,5,5,367,73
2015/4/30,10,2015/5/1,1400,5,5,362,72
2015/4/30,9,2015/5/1,1144,5,5,361,72
2015/4/30,8,2015/5/1,1458,5,5,358,71
2015/5/1,7,2015/5/1,1306,5,5,350,70
2015/5/1,6,2015/5/1,1405,5,5,347,69
2015/5/1,5,2015/5/1,1079,5,5,338,67
2015/5/1,4,2015/5/1,1085,5,5,333,66
2015/5/1,3,2015/5/1,1145,5,5,327,65
2015/5/1,2,2015/5/1,1160,5,5,321,64
2015/5/1,1,2015/5/1,1086,5,5,311,62
2015/4/2,240,2015/5/2,1047,6,5,2000,400
2015/4/2,239,2015/5/2,1349,6,5,1990,398
2015/4/2,238,2015/5/2,1051,6,5,1980,396
2015/4/2,237,2015/5/2,1101,6,5,1975,395
2015/4/2,236,2015/5/2,1239,6,5,1961,392
2015/4/2,235,2015/5/2,1207,6,5,1958,391
2015/4/2,234,2015/5/2,1251,6,5,1957,391
2015/4/2,233,2015/5/2,1454,6,5,1946,389
2015/4/3,232,2015/5/2,1308,6,5,1934,386
2015/4/3,231,2015/5/2,1138,6,5,1920,384
2015/4/3,230,2015/5/2,1102,6,5,1919,383
2015/4/3,229,2015/5/2,1012,6,5,1909,381
2015/4/3,228,2015/5/2,1340,6,5,1901,380
2015/4/3,227,2015/5/2,1346,6,5,1893,378
2015/4/3,226,2015/5/2,1303,6,5,1888,377
2015/4/3,225,2015/5/2,1468,6,5,1880,376
2015/4/4,224,2015/5/2,1131,6,5,1876,375
2015/4/4,223,2015/5/2,1326,6,5,1872,374
2015/4/4,222,2015/5/2,1299,6,5,1859,371
2015/4/4,221,2015/5/2,1276,6,5,1847,369
2015/4/4,220,2015/5/2,1231,6,5,1841,368
2015/4/4,219,2015/5/2,1242,6,5,1827,365
2015/4/4,218,2015/5/2,1273,6,5,1813,362
2015/4/4,217,2015/5/2,1176,6,5,1806,361
2015/4/5,216,2015/5/2,1429,6,5,1802,360
2015/4/5,215,2015/5/2,1066,6,5,1793,358
2015/4/5,214,2015/5/2,1367,6,5,1779,355
2015/4/5,213,2015/5/2,1360,6,5,1767,353
2015/4/5,212,2015/5/2,1026,6,5,1758,351
2015/4/5,211,2015/5/2,1299,6,5,1748,349
2015/4/5,210,2015/5/2,1398,6,5,1739,347
2015/4/6,209,2015/5/2,1067,6,5,1734,346
2015/4/6,208,2015/5/2,1215,6,5,1729,345
2015/4/6,207,2015/5/2,1010,6,5,1720,344
2015/4/6,206,2015/5/2,1032,6,5,1717,343
2015/4/6,205,2015/5/2,1310,6,5,1707,341
2015/4/6,204,2015/5/2,1374,6,5,1698,339
2015/4/6,203,2015/5/2,1002,6,5,1696,339
2015/4/6,202,2015/5/2,1048,6,5,1689,337
2015/4/7,201,2015/5/2,1116,6,5,1684,336
2015/4/7,200,2015/5/2,1252,6,5,1670,334
2015/4/7,199,2015/5/2,1451,6,5,1666,333
2015/4/7,198,2015/5/2,1373,6,5,1664,332
2015/4/7,197,2015/5/2,1189,6,5,1653,330
2015/4/7,196,2015/5/2,1149,6,5,1647,329
2015/4/7,195,2015/5/2,1464,6,5,1646,329
2015/4/7,194,2015/5/2,1433,6,5,1643,328
2015/4/8,193,2015/5/2,1273,6,5,1630,326
2015/4/8,192,2015/5/2,1202,6,5,1626,325
2015/4/8,191,2015/5/2,1140,6,5,1612,322
2015/4/8,190,2015/5/2,1385,6,5,1601,320
2015/4/8,189,2015/5/2,1457,6,5,1595,319
2015/4/8,188,2015/5/2,1281,6,5,1591,318
2015/4/8,187,2015/5/2,1219,6,5,1582,316
2015/4/8,186,2015/5/2,1242,6,5,1580,316
2015/4/9,185,2015/5/2,1206,6,5,1578,315
2015/4/9,184,2015/5/2,1141,6,5,1565,313
2015/4/9,183,2015/5/2,1210,6,5,1560,312
2015/4/9,182,2015/5/2,1363,6,5,1558,311
2015/4/9,181,2015/5/2,1117,6,5,1556,311
2015/4/9,180,2015/5/2,1343,6,5,1555,311
2015/4/9,179,2015/5/2,1060,6,5,1549,309
2015/4/10,178,2015/5/2,1114,6,5,1542,308
2015/4/10,177,2015/5/2,1156,6,5,1534,306
2015/4/10,176,2015/5/2,1200,6,5,1521,304
2015/4/10,175,2015/5/2,1481,6,5,1513,302
2015/4/10,174,2015/5/2,1175,6,5,1509,301
2015/4/10,173,2015/5/2,1101,6,5,1505,301
2015/4/10,172,2015/5/2,1333,6,5,1501,300
2015/4/10,171,2015/5/2,1325,6,5,1496,299
2015/4/11,170,2015/5/2,1304,6,5,1495,299
2015/4/11,169,2015/5/2,1199,6,5,1485,297
2015/4/11,168,2015/5/2,1452,6,5,1482,296
2015/4/11,167,2015/5/2,1494,6,5,1471,294
2015/4/11,166,2015/5/2,1333,6,5,1468,293
2015/4/11,165,2015/5/2,1328,6,5,1465,293
2015/4/11,164,2015/5/2,1288,6,5,1461,292
2015/4/11,163,2015/5/2,1177,6,5,1455,291
2015/4/12,162,2015/5/2,1416,6,5,1452,290
2015/4/12,161,2015/5/2,1436,6,5,1442,288
2015/4/12,160,2015/5/2,1167,6,5,1434,286
2015/4/12,159,2015/5/2,1321,6,5,1423,284
2015/4/12,158,2015/5/2,1449,6,5,1409,281
2015/4/12,157,2015/5/2,1109,6,5,1399,279
2015/4/12,156,2015/5/2,1140,6,5,1387,277
2015/4/12,155,2015/5/2,1181,6,5,1381,276
2015/4/13,154,2015/5/2,1445,6,5,1374,274
2015/4/13,153,2015/5/2,1240,6,5,1372,274
2015/4/13,152,2015/5/2,1494,6,5,1370,274
2015/4/13,151,2015/5/2,1285,6,5,1358,271
2015/4/13,150,2015/5/2,1499,6,5,1350,270
2015/4/13,149,2015/5/2,1481,6,5,1340,268
2015/4/13,148,2015/5/2,1092,6,5,1329,265
2015/4/14,147,2015/5/2,1161,6,5,1323,264
2015/4/14,146,2015/5/2,1356,6,5,1312,262
2015/4/14,145,2015/5/2,1126,6,5,1310,262
2015/4/14,144,2015/5/2,1039,6,5,1309,261
2015/4/14,143,2015/5/2,1177,6,5,1295,259
2015/4/14,142,2015/5/2,1218,6,5,1290,258
2015/4/14,141,2015/5/2,1455,6,5,1282,256
2015/4/14,140,2015/5/2,1470,6,5,1276,255
2015/4/15,139,2015/5/2,1175,6,5,1269,253
2015/4/15,138,2015/5/2,1083,6,5,1268,253
2015/4/15,137,2015/5/2,1275,6,5,1261,252
2015/4/15,136,2015/5/2,1076,6,5,1249,249
2015/4/15,135,2015/5/2,1469,6,5,1236,247
2015/4/15,134,2015/5/2,1168,6,5,1230,246
2015/4/15,133,2015/5/2,1260,6,5,1220,244
2015/4/15,132,2015/5/2,1008,6,5,1213,242
2015/4/16,131,2015/5/2,1181,6,5,1201,240
2015/4/16,130,2015/5/2,1255,6,5,1199,239
2015/4/16,129,2015/5/2,1004,6,5,1197,239
2015/4/16,128,2015/5/2,1448,6,5,1190,238
2015/4/16,127,2015/5/2,1227,6,5,1176,235
2015/4/16,126,2015/5/2,1425,6,5,1171,234
2015/4/16,125,2015/5/2,1356,6,5,1160,232
2015/4/16,124,2015/5/2,1025,6,5,1158,231
2015/4/17,123,2015/5/2,1180,6,5,1157,231
2015/4/17,122,2015/5/2,1252,6,5,1153,230
2015/4/17,121,2015/5/2,1382,6,5,1148,229
2015/4/17,120,2015/5/2,1273,6,5,1140,228
2015/4/17,119,2015/5/2,1067,6,5,1137,227
2015/4/17,118,2015/5/2,1448,6,5,1133,226
2015/4/17,117,2015/5/2,1101,6,5,1127,225
2015/4/18,116,2015/5/2,1058,6,5,1124,224
2015/4/18,115,2015/5/2,1125,6,5,1110,222
2015/4/18,114,2015/5/2,1386,6,5,1099,219
2015/4/18,113,2015/5/2,1477,6,5,1092,218
2015/4/18,112,2015/5/2,1227,6,5,1091,218
2015/4/18,111,2015/5/2,1326,6,5,1082,216
2015/4/18,110,2015/5/2,1233,6,5,1072,214
2015/4/18,109,2015/5/2,1398,6,5,1058,211
2015/4/19,108,2015/5/2,1411,6,5,1051,210
2015/4/19,107,2015/5/2,1390,6,5,1048,209
2015/4/19,106,2015/5/2,1442,6,5,1037,207
2015/4/19,105,2015/5/2,1013,6,5,1030,206
2015/4/19,104,2015/5/2,1080,6,5,1023,204
2015/4/19,103,2015/5/2,1140,6,5,1011,202
2015/4/19,102,2015/5/2,1219,6,5,1010,202
2015/4/19,101,2015/5/2,1271,6,5,1005,201
2015/4/20,100,2015/5/2,1101,6,5,999,199
2015/4/20,99,2015/5/2,1441,6,5,998,199
2015/4/20,98,2015/5/2,1472,6,5,988,197
2015/4/20,97,2015/5/2,1088,6,5,976,195
2015/4/20,96,2015/5/2,1240,6,5,973,194
2015/4/20,95,2015/5/2,1310,6,5,968,193
2015/4/20,94,2015/5/2,1184,6,5,959,191
2015/4/20,93,2015/5/2,1315,6,5,957,191
2015/4/21,92,2015/5/2,1207,6,5,952,190
2015/4/21,91,2015/5/2,1339,6,5,949,189
2015/4/21,90,2015/5/2,1271,6,5,935,187
2015/4/21,89,2015/5/2,1144,6,5,931,186
2015/4/21,88,2015/5/2,1418,6,5,920,184
2015/4/21,87,2015/5/2,1380,6,5,908,181
2015/4/21,86,2015/5/2,1362,6,5,907,181
2015/4/22,85,2015/5/2,1009,6,5,905,181
2015/4/22,84,2015/5/2,1175,6,5,892,178
2015/4/22,83,2015/5/2,1036,6,5,889,177
2015/4/22,82,2015/5/2,1198,6,5,881,176
2015/4/22,81,2015/5/2,1066,6,5,867,173
2015/4/22,80,2015/5/2,1424,6,5,866,173
2015/4/22,79,2015/5/2,1482,6,5,857,171
2015/4/22,78,2015/5/2,1486,6,5,848,169
2015/4/23,77,2015/5/2,1031,6,5,846,169
2015/4/23,76,2015/5/2,1172,6,5,843,168
2015/4/23,75,2015/5/2,1126,6,5,835,167
2015/4/23,74,2015/5/2,1249,6,5,833,166
2015/4/23,73,2015/5/2,1181,6,5,827,165
2015/4/23,72,2015/5/2,1070,6,5,819,163
2015/4/23,71,2015/5/2,1034,6,5,813,162
2015/4/23,70,2015/5/2,1248,6,5,811,162
2015/4/24,69,2015/5/2,1400,6,5,810,162
2015/4/24,68,2015/5/2,1260,6,5,802,160
2015/4/24,67,2015/5/2,1249,6,5,801,160
2015/4/24,66,2015/5/2,1290,6,5,788,157
2015/4/24,65,2015/5/2,1045,6,5,786,157
2015/4/24,64,2015/5/2,1395,6,5,777,155
2015/4/24,63,2015/5/2,1424,6,5,764,152
2015/4/24,62,2015/5/2,1051,6,5,753,150
2015/4/25,61,2015/5/2,1460,6,5,744,148
2015/4/25,60,2015/5/2,1242,6,5,731,146
2015/4/25,59,2015/5/2,1106,6,5,725,145
2015/4/25,58,2015/5/2,1074,6,5,720,144
2015/4/25,57,2015/5/2,1198,6,5,716,143
2015/4/25,56,2015/5/2,1035,6,5,708,141
2015/4/25,55,2015/5/2,1044,6,5,704,140
2015/4/26,54,2015/5/2,1493,6,5,696,139
2015/4/26,53,2015/5/2,1122,6,5,695,139
2015/4/26,52,2015/5/2,1128,6,5,694,138
2015/4/26,51,2015/5/2,1235,6,5,683,136
2015/4/26,50,2015/5/2,1357,6,5,680,136
2015/4/26,49,2015/5/2,1275,6,5,673,134
2015/4/26,48,2015/5/2,1474,6,5,659,131
2015/4/26,47,2015/5/2,1354,6,5,654,130
2015/4/27,46,2015/5/2,1037,6,5,644,128
2015/4/27,45,2015/5/2,1479,6,5,637,127
2015/4/27,44,2015/5/2,1094,6,5,630,126
2015/4/27,43,2015/5/2,1324,6,5,618,123
2015/4/27,42,2015/5/2,1052,6,5,613,122
2015/4/27,41,2015/5/2,1156,6,5,611,122
2015/4/27,40,2015/5/2,1425,6,5,607,121
2015/4/27,39,2015/5/2,1461,6,5,604,120
2015/4/28,38,2015/5/2,1136,6,5,596,119
2015/4/28,37,2015/5/2,1443,6,5,591,118
2015/4/28,36,2015/5/2,1232,6,5,577,115
2015/4/28,35,2015/5/2,1016,6,5,567,113
2015/4/28,34,2015/5/2,1305,6,5,561,112
2015/4/28,33,2015/5/2,1401,6,5,558,111
2015/4/28,32,2015/5/2,1312,6,5,555,111
2015/4/28,31,2015/5/2,1484,6,5,552,110
2015/4/29,30,2015/5/2,1288,6,5,550,110
2015/4/29,29,2015/5/2,1229,6,5,538,107
2015/4/29,28,2015/5/2,1475,6,5,529,105
2015/4/29,27,2015/5/2,1269,6,5,522,104
2015/4/29,26,2015/5/2,1209,6,5,517,103
2015/4/29,25,2015/5/2,1380,6,5,506,101
2015/4/29,24,2015/5/2,1483,6,5,494,98
2015/4/30,23,2015/5/2,1021,6,5,493,98
2015/4/30,22,2015/5/2,1089,6,5,490,98
2015/4/30,21,2015/5/2,1144,6,5,486,97
2015/4/30,20,2015/5/2,1342,6,5,480,96
2015/4/30,19,2015/5/2,1308,6,5,474,94
2015/4/30,18,2015/5/2,1009,6,5,470,94
2015/4/30,17,2015/5/2,1157,6,5,461,92
2015/4/30,16,2015/5/2,1428,6,5,459,91
2015/5/1,15,2015/5/2,1301,6,5,448,89
2015/5/1,14,2015/5/2,1428,6,5,446,89
2015/5/1,13,2015/5/2,1408,6,5,443,88
2015/5/1,12,2015/5/2,1044,6,5,434,86
2015/5/1,11,2015/5/2,1097,6,5,423,84
2015/5/1,10,2015/5/2,1311,6,5,411,82
2015/5/1,9,2015/5/2,1236,6,5,410,82
2015/5/1,8,2015/5/2,1101,6,5,402,80
2015/5/2,7,2015/5/2,1079,6,5,392,78
2015/5/2,6,2015/5/2,1445,6,5,382,76
2015/5/2,5,2015/5/2,1149,6,5,380,76
2015/5/2,4,2015/5/2,1353,6,5,377,75
2015/5/2,3,2015/5/2,1483,6,5,371,74
2015/5/2,2,2015/5/2,1466,6,5,359,71
2015/5/2,1,2015/5/2,1119,6,5,352,70
2015/4/3,240,2015/5/3,1465,0,5,2000,400
2015/4/3,239,2015/5/3,1078,0,5,1986,397
2015/4/3,238,2015/5/3,1129,0,5,1980,396
2015/4/3,237,2015/5/3,1176,0,5,1971,394
2015/4/3,236,2015/5/3,1378,0,5,1963,392
2015/4/3,235,2015/5/3,1347,0,5,1959,391
2015/4/3,234,2015/5/3,1243,0,5,1955,391
2015/4/3,233,2015/5/3,1112,0,5,1944,388
2015/4/4,232,2015/5/3,1041,0,5,1937,387
2015/4/4,231,2015/5/3,1194,0,5,1934,386
2015/4/4,230,2015/5/3,1142,0,5,1932,386
2015/4/4,229,2015/5/3,1350,0,5,1926,385
2015/4/4,228,2015/5/3,1223,0,5,1923,384
2015/4/4,227,2015/5/3,1183,0,5,1910,382
2015/4/4,226,2015/5/3,1393,0,5,1902,380
2015/4/4,225,2015/5/3,1027,0,5,1888,377
2015/4/5,224,2015/5/3,1222,0,5,1884,376
2015/4/5,223,2015/5/3,1243,0,5,1871,374
2015/4/5,222,2015/5/3,1382,0,5,1864,372
2015/4/5,221,2015/5/3,1254,0,5,1863,372
2015/4/5,220,2015/5/3,1310,0,5,1858,371
2015/4/5,219,2015/5/3,1321,0,5,1855,371
2015/4/5,218,2015/5/3,1249,0,5,1851,370
2015/4/5,217,2015/5/3,1088,0,5,1843,368
